"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"GNDREF";15;2;3.2000;309.6872;0.0000;312.8872;8.0000;301.6872;
002;"+6V";6;0;0.0000;123.7516;0.0000;123.7516;0.0000;123.7516;
003;"Net-(J12-Pin_1)";6;0;0.0000;42.0074;0.0000;42.0074;0.0000;42.0074;
004;"Net-(D1-K)";3;0;0.0000;56.6025;0.0000;56.6025;0.0000;56.6025;
006;"Net-(D2-A)";3;0;0.0000;12.9400;0.0000;12.9400;0.0000;12.9400;
009;"Net-(J1-Pin_1)";2;0;0.0000;29.5095;0.0000;29.5095;0.0000;29.5095;
010;"Net-(J1-Pin_2)";2;0;0.0000;31.1016;0.0000;31.1016;0.0000;31.1016;
011;"Net-(J2-Pin_2)";2;0;0.0000;26.5520;0.0000;26.5520;0.0000;26.5520;
012;"Net-(J2-Pin_1)";2;0;0.0000;23.7502;0.0000;23.7502;0.0000;23.7502;
013;"Net-(J3-Pin_2)";2;0;0.0000;20.6682;0.0000;20.6682;0.0000;20.6682;
014;"Net-(J3-Pin_1)";2;0;0.0000;22.8139;0.0000;22.8139;0.0000;22.8139;
015;"Net-(J4-Pin_1)";2;0;0.0000;17.5359;0.0000;17.5359;0.0000;17.5359;
016;"Net-(J4-Pin_2)";2;0;0.0000;17.2045;0.0000;17.2045;0.0000;17.2045;
017;"Net-(J5-Pin_2)";2;0;0.0000;14.3568;0.0000;14.3568;0.0000;14.3568;
018;"Net-(J5-Pin_1)";2;0;0.0000;14.7310;0.0000;14.7310;0.0000;14.7310;
019;"Net-(J6-Pin_1)";2;0;0.0000;11.7000;0.0000;11.7000;0.0000;11.7000;
020;"Net-(J7-Pin_1)";2;0;0.0000;11.3995;0.0000;11.3995;0.0000;11.3995;
021;"Net-(J7-Pin_2)";2;0;0.0000;12.6339;0.0000;12.6339;0.0000;12.6339;
022;"Net-(J8-Pin_1)";2;0;0.0000;32.0743;0.0000;32.0743;0.0000;32.0743;
023;"Net-(J8-Pin_2)";2;0;0.0000;9.1924;0.0000;9.1924;0.0000;9.1924;
024;"Net-(J6-Pin_2)";2;0;0.0000;12.3805;0.0000;12.3805;0.0000;12.3805;
025;"Net-(J10-Pin_1)";2;0;0.0000;34.1024;0.0000;34.1024;0.0000;34.1024;
026;"Net-(J15-Pin_2)";2;0;0.0000;15.9449;0.0000;15.9449;0.0000;15.9449;
027;"Net-(J15-Pin_1)";2;0;0.0000;15.2905;0.0000;15.2905;0.0000;15.2905;
028;"+3.3V";2;0;0.0000;27.5415;0.0000;27.5415;0.0000;27.5415;
029;"Net-(U3-IO35)";3;0;0.0000;89.9987;0.0000;89.9987;0.0000;89.9987;
030;"Net-(U2-FB)";3;0;0.0000;16.4358;0.0000;16.4358;0.0000;16.4358;
031;"Net-(R2-1-Pad2)";2;0;0.0000;4.2771;0.0000;4.2771;0.0000;4.2771;
032;"Net-(U3-IO34)";2;0;0.0000;53.7074;0.0000;53.7074;0.0000;53.7074;
033;"Net-(U2-~{ON}/OFF)";2;0;0.0000;16.9181;0.0000;16.9181;0.0000;16.9181;
034;"Net-(U3-IO32)";2;0;0.0000;17.4071;0.0000;17.4071;0.0000;17.4071;
035;"Net-(U3-IO33)";2;0;0.0000;17.1669;0.0000;17.1669;0.0000;17.1669;
036;"Net-(U3-IO25)";2;0;0.0000;16.1048;0.0000;16.1048;0.0000;16.1048;
041;"Net-(U1-TX)";2;0;0.0000;61.6475;0.0000;61.6475;0.0000;61.6475;
044;"Net-(U1-RX)";2;0;0.0000;58.9098;0.0000;58.9098;0.0000;58.9098;
058;"Net-(J10-Pin_2)";2;0;0.0000;31.5077;0.0000;31.5077;0.0000;31.5077;
